Date,Ticker,Open,High,Low,Close_Price,Volume,RSI,MACD,Signal_Line,MACD_Hist,SMA_50,SMA_200,Vol_Pattern
21-08-2025,RELIANCE.NS,1425.0,1431.9,1420.3,1424.8,11021323,54.8,-9.4,-16.36,6.9645,1439.6,1324.03,Drying Up
22-08-2025,RELIANCE.NS,1420.0,1423.4,1407.9,1409.2,5818868,50.03,-7.88,-14.67,6.7815,1439.06,1324.44,Drying Up
25-08-2025,RELIANCE.NS,1414.7,1419.5,1405.7,1412.6,5979407,51.03,-6.34,-13.0,6.6619,1438.87,1324.84,Drying Up
26-08-2025,RELIANCE.NS,1408.0,1410.0,1381.6,1384.9,12145259,43.42,-7.26,-11.85,4.5885,1437.93,1325.28,Drying Up
28-08-2025,RELIANCE.NS,1389.9,1392.2,1366.5,1385.9,13161813,43.74,-7.83,-11.05,3.2203,1437.14,1325.71,Drying Up
29-08-2025,RELIANCE.NS,1381.1,1403.5,1350.0,1357.2,18758842,37.13,-10.47,-10.93,0.4631,1435.79,1325.89,Drying Up
01-09-2025,RELIANCE.NS,1356.0,1363.2,1340.6,1353.9,11232238,36.44,-12.68,-11.28,-1.4003,1434.32,1326.16,Drying Up
02-09-2025,RELIANCE.NS,1354.8,1384.5,1354.5,1366.5,11517006,40.91,-13.27,-11.68,-1.5879,1432.44,1326.6,Drying Up
03-09-2025,RELIANCE.NS,1369.7,1376.5,1360.5,1372.6,7847563,43.0,-13.09,-11.96,-1.1265,1430.87,1327.12,Drying Up
04-09-2025,RELIANCE.NS,1371.8,1374.0,1357.1,1359.3,13223177,39.7,-13.86,-12.34,-1.5179,1429.16,1327.57,Drying Up
05-09-2025,RELIANCE.NS,1363.0,1381.0,1359.3,1375.0,5777575,45.06,-13.05,-12.48,-0.5693,1427.43,1328.21,Drying Up
08-09-2025,RELIANCE.NS,1380.0,1386.0,1372.4,1378.5,6986720,46.21,-11.99,-12.38,0.3923,1425.21,1328.79,Drying Up
09-09-2025,RELIANCE.NS,1376.6,1381.2,1368.7,1376.2,9754452,45.53,-11.21,-12.15,0.9406,1422.55,1329.4,Expanding
10-09-2025,RELIANCE.NS,1383.9,1388.5,1374.1,1377.0,7790815,45.83,-10.4,-11.8,1.3967,1420.19,1330.1,Drying Up
11-09-2025,RELIANCE.NS,1376.0,1385.5,1375.0,1383.3,9766072,48.21,-9.15,-11.27,2.1191,1417.41,1330.92,Drying Up
12-09-2025,RELIANCE.NS,1383.3,1396.3,1380.5,1395.0,7403368,52.4,-7.13,-10.44,3.3101,1415.06,1331.6,Drying Up
15-09-2025,RELIANCE.NS,1393.0,1400.8,1388.6,1399.3,5396697,53.87,-5.13,-9.38,4.2528,1412.81,1332.18,Drying Up
16-09-2025,RELIANCE.NS,1404.7,1408.0,1398.2,1405.3,8686961,55.92,-3.02,-8.11,5.0891,1410.49,1332.76,Drying Up
17-09-2025,RELIANCE.NS,1407.0,1416.2,1406.9,1413.8,7519417,58.73,-0.65,-6.62,5.9628,1408.06,1333.39,Drying Up
18-09-2025,RELIANCE.NS,1420.4,1422.0,1410.7,1415.0,9332642,59.12,1.3,-5.03,6.3348,1405.73,1334.13,Drying Up
19-09-2025,RELIANCE.NS,1414.9,1417.0,1403.6,1407.4,13461373,55.5,2.21,-3.58,5.7967,1403.62,1334.73,Drying Up
22-09-2025,RELIANCE.NS,1403.9,1410.7,1388.0,1390.6,7757970,48.43,1.56,-2.55,4.1161,1401.21,1335.17,Drying Up
23-09-2025,RELIANCE.NS,1391.0,1395.0,1376.8,1389.8,14014702,48.12,0.97,-1.85,2.8192,1399.22,1335.53,Drying Up
24-09-2025,RELIANCE.NS,1385.3,1396.0,1380.4,1383.0,5922759,45.42,-0.05,-1.49,1.4415,1397.32,1335.92,Drying Up
25-09-2025,RELIANCE.NS,1381.3,1384.5,1369.0,1372.4,11411143,41.51,-1.69,-1.53,-0.1605,1395.18,1336.2,Drying Up
26-09-2025,RELIANCE.NS,1372.0,1382.7,1366.0,1377.6,9879109,44.05,-2.54,-1.73,-0.8104,1393.14,1336.56,Drying Up
29-09-2025,RELIANCE.NS,1381.6,1389.0,1368.0,1372.8,14231999,42.23,-3.56,-2.1,-1.4658,1391.18,1336.97,Drying Up
